"","NATACIN","V1_ABALROAMENTO.LONGITUDINAL","V1_ABALROAMENTO.TRANSVERSAL","V1_ACID..DE.PERCURSO","V1_ATROPELAMENTO","V1_ATROPELAMENTO.ANIMAL","V1_CAPOTAMENTO","V1_CHOQUE","V1_CHOQUE.OBJETO.FIXO","V1_CHOQUE.VEiCULO.PARADO","V1_COLISAO","V1_COLISAO.COM.CICLISTA","V1_COLISAO.FRONTAL","V1_COLISAO.TRASEIRA","V1_ENGAVETAMENTO","V1_TOMBAMENTO","vei_auto","vei_moto","vei_ciclom","vei_ciclista","vei_pedestre","vei_onibus","vei_caminhao","vei_viatura","vei_outros","V1_","V1_Bom","V1_Chuvoso","V1_Nublado","V1_.1","V1_Com.defeito","V1_Desligado","V1_Intermitente","V1_NAo.existe","V1_Sem.defeito","V1_.2","V1_Ilegivel","V1_Incompleta","V1_NAo.existente","V1_Perfeito.estado","V1_.3","V1_NAo.hA.placas","V1_Outras","V1_Placas.Dê.a.preferência","V1_Placas.Pare","V1_R.19","V1_R.24a","V1_R.25a","V1_R.25b","V1_R.25d","V1_R.26","V1_R.3","V1_R.31","V1_R.32","V1_R.34","V1_R.4a","V1_R.4b","V1_R.5a","V1_R.5b","V1_R.6a","V1_R.6b","V1_R.6c","V1_R.8a","V1_.4","V1_20.km.h","V1_20km","V1_30.km.h","V1_30KM","V1_40.km.h","V1_40km","V1_40KM","V1_40km.h","V1_50.km.h","V1_60.km.h","V1_60.KM.H","V1_60km","V1_60KM","V1_60km.h","V1_n.i","V1_N.I","V1_.5","V1_Dupla","V1_Inglesa","V1_Unica"
"1","SEM ViTIMA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2","SEM ViTIMA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"3","SEM ViTIMA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"4","SEM ViTIMA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5","SEM ViTIMA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6","SEM ViTIMA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"7","SEM ViTIMA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8","COM ViTIMA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"9","COM ViTIMA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10","SEM ViTIMA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
